source_row,variant_code,flags
363,vmm-03acb4d9696e79492216aa7eadeb98b95ade0903afe024dc78dcd2d9e461546b,LEGACY_QUOTE_REQUIRED
364,vmm-155e45f22ec1398c06688e737bc875c6769bab6cfd81582fe4b623e808079d44,LEGACY_QUOTE_REQUIRED
365,vmm-ba72ed35b02e9d72093217ef6b26ae5d64115eb9d514cfd9af0bd271c1061679,LEGACY_QUOTE_REQUIRED
366,vmm-7ef7b5685140cd59dc27273bb66b4347cce48abacf6b2a78d109ec4dfa263cc6,LEGACY_QUOTE_REQUIRED
367,vmm-110c07833a743a4834319ec8c191aaf8fb5d23dc7c930dc23828c33ee72cb6eb,LEGACY_QUOTE_REQUIRED
368,vmm-c96ded54e38fa1de919578d931108d0f6c137b23db5ff6fdca55b765ee589749,LEGACY_QUOTE_REQUIRED
369,vmm-7211e311f7f7166c12e47abf39086a42c322fc649e2d5a32dd28eb67732e18c5,LEGACY_QUOTE_REQUIRED
370,vmm-99af57bc35a18ca5c62150f3683340bf8db14f227bb85400d562880006a4a591,LEGACY_QUOTE_REQUIRED
371,vmm-4d395810d55c18a14bf15d0553d267cb30765f03dbd76e685f8450b59ab4ce59,LEGACY_QUOTE_REQUIRED
373,vmm-4a6dc4d9f4fb7edd4d5eb127bda687977887fa4a94054059721498816efe3d96,MASS_UNKNOWN_OR_OUTLIER
394,vmm-87ed3ae7f371a1bf73edced70fd206c79c213ad2e15e0d6fbd682eaa221d249d,LEGACY_QUOTE_REQUIRED
395,vmm-f067b1d71a3ea35606c8f7c0f387cd3a8c945e5d2aee17811f186264f6ada81c,LEGACY_QUOTE_REQUIRED
396,vmm-98b2fca246a2d495d6d795d3b415e02f05922921ba32393980f24cc087e3f6e7,MASS_UNKNOWN_OR_OUTLIER
398,vmm-8e6677b8bdf78c74db4866459a6a436901577902bf6fbd5930ef4f6b29ff7881,MASS_UNKNOWN_OR_OUTLIER
418,vmm-96ebfaef7e59cc64fdc3e93807f9346a1c81f58ef9ee4ba0620f98f0f3dd0785,LEGACY_QUOTE_REQUIRED
