source_row,variant_code,field,original_value,stored_value,reason
7909,vmm-f59c828090929e7f68ffe519b4048b085f992a39d674e61979de1d8e9c3326df,power_hp,430.9,431,ROUNDED_FOR_INTEGER_STORAGE
7940,vmm-d322beb2a166d2517a03f4cfe9c07b8fc0d151dc11f3631da6031a8a05942fa3,power_hp,481.6,482,ROUNDED_FOR_INTEGER_STORAGE
7941,vmm-7e8b3b0627976c4eea397dc730e951f8ea05de8e1b3f90414f2e07686c0d6ae8,power_hp,271.7,272,ROUNDED_FOR_INTEGER_STORAGE
8130,vmm-882cc762fe2909798f6e02ade7ca91152307ec8f56ae28809541d9f29f68e581,power_hp,233.2,233,ROUNDED_FOR_INTEGER_STORAGE
8132,vmm-ae52180b036c872101919562fdfaeb0d3e2212595353c251a88b4cf0362961ec,power_hp,233.2,233,ROUNDED_FOR_INTEGER_STORAGE
8134,vmm-71c9a72155eba9e11f4d2d7da99c8fe6c2bd5e616bf9f07632307acfde153bf1,power_hp,207.8,208,ROUNDED_FOR_INTEGER_STORAGE
8136,vmm-3e8d416309fa39216c18c80720c2a51489b8fa1ac9bd1713486c09327fc3ee9d,power_hp,207.8,208,ROUNDED_FOR_INTEGER_STORAGE
8138,vmm-4b764aff08cb92fe9d74795541f1286d002564cf5c52bfd01c9b9cc7bbe8bced,power_hp,243.3,243,ROUNDED_FOR_INTEGER_STORAGE
8140,vmm-c22c3b4bcf650baa3924477e5223ce06264528055c45d374b48548ee3b1555ac,power_hp,243.3,243,ROUNDED_FOR_INTEGER_STORAGE
8143,vmm-59f7b14ef5bdbf32f19b8d34a81a2404effb3c76fd92655f8ed985a0d7df87bd,power_hp,263.6,264,ROUNDED_FOR_INTEGER_STORAGE
8145,vmm-ba125cf0aac162080b6474a869f73535e6d44dec980fa9db3a3b521dd1cd38db,power_hp,263.6,264,ROUNDED_FOR_INTEGER_STORAGE
8179,vmm-1f37cfb24dfd62c2ef34efb5b2400e6d5be659a215d8744c47c3bfdf36af5094,power_hp,720.1,720,ROUNDED_FOR_INTEGER_STORAGE
8192,vmm-e40149b5e271ed1c7e009f5f8ea107a2fec603cd1d26170d8c9d0c55edb3a780,power_hp,799.5,800,ROUNDED_FOR_INTEGER_STORAGE
8198,vmm-934065b8b5a13dc90e425b97a6de356b53069e7b72507c78102838887e5a2d78,power_hp,207.8,208,ROUNDED_FOR_INTEGER_STORAGE
8231,vmm-1160c280ef54a47fca988355bfd9876b4a48cdf5f0a895867523d89876a3f546,power_hp,263.6,264,ROUNDED_FOR_INTEGER_STORAGE
